,SMILES,RT,Speed,i-PrOH_proportion,Literature
53,C[C@H](C#Cc1ccccc1)c2cc(C)ccc2C(=O)NC(C)(C)C,5.82,0.8,0.1,10.1038/s41467/019/13705/1
54,CC(C)[Si](C#Cc1cc(F)ccc1[S@@](=O)c2ccccn2)(C(C)C)C(C)C,5.3,0.8,0.1,10.1021/acs.orglett.1c02918
55,CC(C)[Si](C#Cc1cc(F)ccc1[S@](=O)c2ccccn2)(C(C)C)C(C)C,5.9,0.8,0.1,10.1021/acs.orglett.1c02918
56,C[C@@H](C#Cc1cccnc1)c2ccccc2C(=O)NC(C)(C)C,15.28,0.8,0.2,10.1038/s41467/019/13705/1
57,C[C@H](C#Cc1cccnc1)c2ccccc2C(=O)NC(C)(C)C,5.91,0.8,0.2,10.1038/s41467/019/13705/1
58,C[C@@H](C#Cc1ccc(cc1)C(F)(F)F)c2ccccc2C(=O)NC(C)(C)C,15.01,0.8,0.1,10.1038/s41467/019/13705/1
59,C[C@H](C#Cc1ccc(cc1)C(F)(F)F)c2ccccc2C(=O)NC(C)(C)C,5.92,0.8,0.1,10.1038/s41467/019/13705/1
60,C[C@@H](C#Cc1ccccc1)c2ccccc2C(=O)NC(C)(C)C,8.93,0.8,0.1,10.1038/s41467/019/13705/1
61,C[C@H](C#Cc1ccccc1)c2ccccc2C(=O)NC(C)(C)C,5.96,0.8,0.1,10.1038/s41467/019/13705/1
62,C[C@H]1COCCc2c3ccccc3n(c4ccc(cc4)c5cc(cc(c5)C(F)(F)F)C(F)(F)F)c12,7.39,0.6,0.3,10.1021/jacs.1c08562
63,C[C@@H]1COCCc2c3ccccc3n(c4ccc(cc4)c5cc(cc(c5)C(F)(F)F)C(F)(F)F)c12,5.99,0.6,0.3,10.1021/jacs.1c08562
64,CC(C)(NC(=O)C[C@H](CC(c1ccccc1)c2ccccc2)c3ccc(Cl)cc3)c4ccccn4,7.2,1.0,0.15,10.1039/D1CC01690C
65,CC(C)(NC(=O)C[C@@H](CC(c1ccccc1)c2ccccc2)c3ccc(Cl)cc3)c4ccccn4,6.0,1.0,0.15,10.1039/D1CC01690C
66,CC(C)[Si](C#Cc1cc(ccc1[S@@](=O)c2ccccn2)C(C)(C)C)(C(C)C)C(C)C,5.1,0.8,0.15,10.1021/acs.orglett.1c02918
67,CC(C)[Si](C#Cc1cc(ccc1[S@](=O)c2ccccn2)C(C)(C)C)(C(C)C)C(C)C,6.1,0.8,0.15,10.1021/acs.orglett.1c02918
