,Unnamed: 0,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column
2331,2331,FC(F)(F)c1cc(NC(=O)N2CC3(CCCC3)C[C@]2(CN4CCCCC4)c5ccccc5)cc(c1)C(F)(F)F,12.29,0.3,0.1,10.1016/j.chempr.2017.10.008,AD3
2341,2341,C[C@@H]1NC(=O)c2cc(C)ccc2c3ccccc13,16.2,0.8,0.2,10.1021/acs.orglett.0c02282,AD3
2342,2342,C[C@H]1NC(=O)c2cc(C)ccc2c3ccccc13,12.3,0.8,0.2,10.1021/acs.orglett.0c02282,AD3
2513,2513,Clc1ccc(cc1)[C@@H]2NCCc3ccccc23,10.3,0.8,0.3,10.1039/C8CC03586E,AD3
2514,2514,Clc1ccc(cc1)[C@H]2NCCc3ccccc23,12.9,0.8,0.3,10.1039/C8CC03586E,AD3
2515,2515,COc1ccc2c(c1)[C@H](C)NC(=O)c3ccccc23,14.3,0.8,0.2,10.1021/acs.orglett.0c02282,AD3
2516,2516,COc1ccc2c(c1)[C@@H](C)NC(=O)c3ccccc23,12.9,0.8,0.2,10.1021/acs.orglett.0c02282,AD3
2537,2537,COC(=O)[C@H](N)Cc1ccccc1,9.36,1.0,0.1,10.1002/anie.202202552,AD3
2538,2538,COC(=O)[C@@H](N)Cc1ccccc1,13.0,1.0,0.1,10.1002/anie.202202552,AD3
2567,2567,CC1(C)CN(C(=O)Nc2cc(cc(c2)C(F)(F)F)C(F)(F)F)[C@@](CN3CCOCC3)(C1)c4ccc5ccccc5c4,14.75,0.5,0.05,10.1016/j.chempr.2017.10.008,AD3
2568,2568,CC1(C)CN(C(=O)Nc2cc(cc(c2)C(F)(F)F)C(F)(F)F)[C@](CN3CCOCC3)(C1)c4ccc5ccccc5c4,13.12,0.5,0.05,10.1016/j.chempr.2017.10.008,AD3
2576,2576,CC1(C)COC(OC1)c2cccc(c2)[C@]3(CN4CCOCC4)CC(C)(C)CN3C(=O)Nc5cc(cc(c5)C(F)(F)F)C(F)(F)F,14.88,0.5,0.05,10.1016/j.chempr.2017.10.008,AD3
2577,2577,CC1(C)COC(OC1)c2cccc(c2)[C@@]3(CN4CCOCC4)CC(C)(C)CN3C(=O)Nc5cc(cc(c5)C(F)(F)F)C(F)(F)F,13.17,0.5,0.05,10.1016/j.chempr.2017.10.008,AD3
2594,2594,N[C@@H](C(=O)Nc1ccccc1)c2ccccc2,16.15,1.0,0.1,10.1002/anie.202202552,AD3
2595,2595,N[C@H](C(=O)Nc1ccccc1)c2ccccc2,13.23,1.0,0.1,10.1002/anie.202202552,AD3
2613,2613,Cc1ccc(cc1)[C@@H]2NCCc3ccccc23,9.1,0.8,0.3,10.1039/C8CC03586E,AD3
2614,2614,Cc1ccc(cc1)[C@H]2NCCc3ccccc23,13.3,0.8,0.3,10.1039/C8CC03586E,AD3
2615,2615,CC(C)(C)OC(=O)N1CCC[C@H](C1)C(O)=O,13.9,1.0,0.03,10.31635/ccschem.020.202000176,AD3
2616,2616,CC(C)(C)OC(=O)N1CCC[C@@H](C1)C(O)=O,13.3,1.0,0.03,10.31635/ccschem.020.202000176,AD3
2627,2627,CC(C)(C)C#C[C@H](CCC(C)(C)NC(=O)c1ccccc1)C#Cc2ccccc2,13.63,0.8,0.02,10.1038/s41467/019/13705/1,AD3
2628,2628,CC(C)(C)C#C[C@@H](CCC(C)(C)NC(=O)c1ccccc1)C#Cc2ccccc2,13.31,0.8,0.02,10.1038/s41467/019/13705/1,AD3
2681,2681,CC1=C(Br)[C@H](O)CC1,11.4,1.0,0.02,10.1021/acs.orglett.1c01744,AD3
2682,2682,CC1=C(Br)[C@@H](O)CC1,13.5,1.0,0.02,10.1021/acs.orglett.1c01744,AD3
2687,2687,CC1(C)CN(C(=O)Nc2ccc(F)cc2)[C@@](CC(F)(F)F)(C1)c3ccccc3,27.39,0.5,0.15,10.1021/jacs.6b04077,AD3
2688,2688,CC1(C)CN(C(=O)Nc2ccc(F)cc2)[C@](CC(F)(F)F)(C1)c3ccccc3,13.51,0.5,0.15,10.1021/jacs.6b04077,AD3
2718,2718,C1Cc2ccccc2[C@@H](N1)c3ccccc3,11.2,0.8,0.3,10.1039/C8CC03586E,AD3
2719,2719,C1Cc2ccccc2[C@H](N1)c3ccccc3,13.6,0.8,0.3,10.1039/C8CC03586E,AD3
2739,2739,C[C@H](C(O)=O)c1ccc(C)cc1,15.49,0.8,0.03,10.1021/acs.orglett.2c00852,AD3
2740,2740,C[C@@H](C(O)=O)c1ccc(C)cc1,13.69,0.8,0.03,10.1021/acs.orglett.2c00852,AD3
2755,2755,C[C@@H](C(O)=O)c1ccccc1,12.3,0.8,0.03,10.1038/s41467/020/17057/z,AD3
2756,2756,C[C@H](C(O)=O)c1ccccc1,13.7,0.8,0.03,10.1038/s41467/020/17057/z,AD3
2806,2806,C[Si](C)(C)[Si](C[C@]1(CC2(CCCCCC2)CN1C(=O)Nc3cccc(F)c3)c4ccccc4)([Si](C)(C)C)[Si](C)(C)C,10.44,0.5,0.01,10.1007/s11426/019/9528/2,AD3
2807,2807,C[Si](C)(C)[Si](C[C@@]1(CC2(CCCCCC2)CN1C(=O)Nc3cccc(F)c3)c4ccccc4)([Si](C)(C)C)[Si](C)(C)C,13.86,0.5,0.01,10.1007/s11426/019/9528/2,AD3
