,Unnamed: 0,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column
884,884,CC(C)(C)NC(=O)[C@H](OC(=O)C(c1ccccc1)(c2ccccc2)c3ccccc3)C4CCCCC4,5.1,1.0,0.3,10.1021/jacs.5b09117,IC
885,885,CC(C)(C)NC(=O)[C@@H](OC(=O)C(c1ccccc1)(c2ccccc2)c3ccccc3)C4CCCCC4,8.1,1.0,0.3,10.1021/jacs.5b09117,IC
886,886,CC(C)[C@@H](OC(=O)C(c1ccccc1)(c2ccccc2)c3ccccc3)C(=O)NC(C)(C)C,6.0,1.0,0.3,10.1021/jacs.5b09117,IC
887,887,CC(C)[C@H](OC(=O)C(c1ccccc1)(c2ccccc2)c3ccccc3)C(=O)NC(C)(C)C,8.1,1.0,0.3,10.1021/jacs.5b09117,IC
888,888,CC(C)(C)O[P](=O)(OC(C)(C)C)C(=[N+]=[N-])[C@@H](c1cccc(c1)C(F)(F)F)c2c[nH]c3ccccc23,7.4,0.5,0.3,10.1021/acs.orglett.2c00213,IC
889,889,CC(C)(C)O[P](=O)(OC(C)(C)C)C(=[N+]=[N-])[C@H](c1cccc(c1)C(F)(F)F)c2c[nH]c3ccccc23,8.1,0.5,0.3,10.1021/acs.orglett.2c00213,IC
932,932,COC(=O)[C@@]1(N[C@@H]([C@@H](c2ccccc2)[C@]1(C)[N+]([O-])=O)c3ccccc3)c4ccccc4,9.26,1.0,0.1,10.1002/anie.201802492,IC
937,937,BrC[C@](Cc1ccccc1)(C(=O)c2ccccc2)c3ccccc3,7.68,1.0,0.01,10.1039/C1SC00295C,IC
938,938,BrC[C@@](Cc1ccccc1)(C(=O)c2ccccc2)c3ccccc3,8.25,1.0,0.01,10.1039/C1SC00295C,IC
949,949,C\C(=C/[C@@H]1CC(CN1C(=S)Nc2cc(cc(c2)C(F)(F)F)C(F)(F)F)(c3ccccc3)c4ccccc4)c5ccccc5,5.57,1.0,0.1,10.1002/anie.201900955,IC
950,950,C\C(=C/[C@H]1CC(CN1C(=S)Nc2cc(cc(c2)C(F)(F)F)C(F)(F)F)(c3ccccc3)c4ccccc4)c5ccccc5,8.29,1.0,0.1,10.1002/anie.201900955,IC
1005,1005,C[C@@H](C#Cc1ccccc1)c2ccc(Br)nc2,9.24,1.0,0.05,10.1038/s41557/019/0346/2,IC
1006,1006,C[C@H](C#Cc1ccccc1)c2ccc(Br)nc2,8.41,1.0,0.05,10.1038/s41557/019/0346/2,IC
1050,1050,CCOC(=O)CC[C@@H](C#Cc1ccccc1)c2ccccc2,10.32,1.0,0.01,10.1038/s41557/019/0346/2,IC
1051,1051,CCOC(=O)CC[C@H](C#Cc1ccccc1)c2ccccc2,8.56,1.0,0.01,10.1038/s41557/019/0346/2,IC
1058,1058,CC[C@@H](OC(=O)C(c1ccccc1)(c2ccccc2)c3ccccc3)C(=O)NC(C)(C)C,7.6,1.0,0.3,10.1021/jacs.5b09117,IC
1059,1059,CC[C@H](OC(=O)C(c1ccccc1)(c2ccccc2)c3ccccc3)C(=O)NC(C)(C)C,8.6,1.0,0.3,10.1021/jacs.5b09117,IC
1079,1079,C\C(=C/[C@@H]1CC(CN1C(=S)Nc2cc(cc(c2)C(F)(F)F)C(F)(F)F)(c3ccccc3)c4ccccc4)c5ccc(Cl)cc5,5.51,1.0,0.1,10.1002/anie.201900955,IC
1080,1080,C\C(=C/[C@H]1CC(CN1C(=S)Nc2cc(cc(c2)C(F)(F)F)C(F)(F)F)(c3ccccc3)c4ccccc4)c5ccc(Cl)cc5,8.63,1.0,0.1,10.1002/anie.201900955,IC
1099,1099,C\C(=C/[C@@H]1CC(CN1C(=S)Nc2cc(cc(c2)C(F)(F)F)C(F)(F)F)(c3ccccc3)c4ccccc4)c5ccc(F)cc5,5.51,1.0,0.1,10.1002/anie.201900955,IC
1100,1100,C\C(=C/[C@H]1CC(CN1C(=S)Nc2cc(cc(c2)C(F)(F)F)C(F)(F)F)(c3ccccc3)c4ccccc4)c5ccc(F)cc5,8.7,1.0,0.1,10.1002/anie.201900955,IC
1101,1101,Cc1cc(C)cc(c1)C(=O)[C@@]2(OCCC[C@@H]2Br)c3cc(C)cc(C)c3,6.99,1.0,0.05,10.1021/ja201794v,IC
1233,1233,CC(C)(C)O[P](=O)(OC(C)(C)C)C(=[N+]=[N-])[C@@H](c1ccccc1)c2c[nH]c3ccc(Br)cc23,7.7,0.5,0.3,10.1021/acs.orglett.2c00213,IC
1234,1234,CC(C)(C)O[P](=O)(OC(C)(C)C)C(=[N+]=[N-])[C@H](c1ccccc1)c2c[nH]c3ccc(Br)cc23,9.1,0.5,0.3,10.1021/acs.orglett.2c00213,IC
1235,1235,Cc1cccc2c1[nH]cc2[C@H](c3ccccc3)C(=[N+]=[N-])[P](=O)(OC(C)(C)C)OC(C)(C)C,8.3,0.5,0.3,10.1021/acs.orglett.2c00213,IC
1236,1236,Cc1cccc2c1[nH]cc2[C@@H](c3ccccc3)C(=[N+]=[N-])[P](=O)(OC(C)(C)C)OC(C)(C)C,9.1,0.5,0.3,10.1021/acs.orglett.2c00213,IC
1258,1258,C\C(=C/[C@@H]1CC(CN1C(=S)Nc2cc(cc(c2)C(F)(F)F)C(F)(F)F)(c3ccccc3)c4ccccc4)c5ccccc5,5.71,1.0,0.1,10.1002/anie.201900955,IC
1259,1259,C\C(=C/[C@H]1CC(CN1C(=S)Nc2cc(cc(c2)C(F)(F)F)C(F)(F)F)(c3ccccc3)c4ccccc4)c5ccccc5,9.15,1.0,0.1,10.1002/anie.201900955,IC
1262,1262,Cc1ccc(cc1)C(/C)=C/[C@@H]2CC(CN2C(=S)Nc3cc(cc(c3)C(F)(F)F)C(F)(F)F)(c4ccccc4)c5ccccc5,5.58,1.0,0.1,10.1002/anie.201900955,IC
1263,1263,Cc1ccc(cc1)C(/C)=C/[C@H]2CC(CN2C(=S)Nc3cc(cc(c3)C(F)(F)F)C(F)(F)F)(c4ccccc4)c5ccccc5,9.17,1.0,0.1,10.1002/anie.201900955,IC
1267,1267,COC(=O)C1=CNN=C([C@@H]1c2cccc3ccccc23)[P](=O)(OC(C)C)OC(C)C,11.661,0.5,0.5,10.1002/adsc.201600353,IC
1268,1268,COC(=O)C1=CNN=C([C@H]1c2cccc3ccccc23)[P](=O)(OC(C)C)OC(C)C,9.173,0.5,0.5,10.1002/adsc.201600353,IC
1281,1281,Cc1ccc(cc1)[S@](=O)c2cccc(C)n2,11.5,1.2,0.5,10.1021/acs.orglett.1c02918,IC
1282,1282,Cc1ccc(cc1)[S@@](=O)c2cccc(C)n2,9.2,1.2,0.5,10.1021/acs.orglett.1c02918,IC
1322,1322,Cc1cc(C)cc(c1)C(=O)[C@]2(OCCC[C@H]2F)c3cc(C)cc(C)c3,7.38,1.0,0.1,10.1002/chem.201202444,IC
1323,1323,Cc1cc(C)cc(c1)C(=O)[C@@]2(OCCC[C@H]2F)c3cc(C)cc(C)c3,9.32,1.0,0.1,10.1002/chem.201202444,IC
1370,1370,[CH2]=[C]=[C]([C@@H](C#C)c1ccccc1)C(=O)OCc2ccccc2,8.67,1.0,0.01,10.1021/jacs.7b08207,IC
1371,1371,[CH2]=[C]=[C]([C@H](C#C)c1ccccc1)C(=O)OCc2ccccc2,9.46,1.0,0.01,10.1021/jacs.7b08207,IC
1374,1374,CC(C)(C)O[P](=O)(OC(C)(C)C)C(=[N+]=[N-])[C@@H](c1ccccc1)c2c[nH]c3cc(Br)ccc23,7.9,0.5,0.3,10.1021/acs.orglett.2c00213,IC
