,Unnamed: 0,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column
2054,2054,CC[C@]1(C\C=C(/CCN(Cc2ccc(OC)cc2)C(=O)OC1=O)c3ccccc3)c4ccccc4,11.45,1.0,0.3,10.1002/anie.202005313,AD
2080,2080,CC(C)[C@]1(CC=C(COC1=O)c2ccccc2)c3ccccc3,10.7,1.0,0.1,10.1021/jacs.8b12095,AD
2081,2081,CC(C)[C@@]1(CC=C(COC1=O)c2ccccc2)c3ccccc3,11.53,1.0,0.1,10.1021/jacs.8b12095,AD
2129,2129,C[C@]1(CC=C(COC1=O)c2ccc(F)cc2)c3ccccc3,13.02,1.0,0.1,10.1021/jacs.8b12095,AD
2130,2130,C[C@@]1(CC=C(COC1=O)c2ccc(F)cc2)c3ccccc3,11.7,1.0,0.1,10.1021/jacs.8b12095,AD
2154,2154,CCOC(=O)[C@](C[N+]([O-])=O)(Sc1ccc2ccccc2c1)c3cccc(OC)c3,14.72,1.0,0.2,10.1021/ol901572x,AD
2155,2155,CCOC(=O)[C@@](C[N+]([O-])=O)(Sc1ccc2ccccc2c1)c3cccc(OC)c3,11.76,1.0,0.2,10.1021/ol901572x,AD
2161,2161,N#C[C@H](c1ccccc1)c2ccc3ccccc3c2,10.85,0.5,0.05,10.1002/cjoc.202000309,AD
2162,2162,N#C[C@@H](c1ccccc1)c2ccc3ccccc3c2,11.77,0.5,0.05,10.1002/cjoc.202000309,AD
2202,2202,N#CCOCC[C@H](C#N)c1ccc(cc1)c2ccccc2,10.77,1.0,0.2,10.1038/s41467/021/22127/x,AD
2203,2203,N#CCOCC[C@@H](C#N)c1ccc(cc1)c2ccccc2,11.86,1.0,0.2,10.1038/s41467/021/22127/x,AD
2210,2210,CC(=O)c1ccc(cc1)[C@@H](CCC2CCCCC2)CC(=O)NC(C)(C)c3ccccn3,15.3,0.7,0.2,10.1002/anie.201804197,AD
2211,2211,CC(=O)c1ccc(cc1)[C@H](CCC2CCCCC2)CC(=O)NC(C)(C)c3ccccn3,11.9,0.7,0.2,10.1002/anie.201804197,AD
